ActuatorForces																																			
version=1																																			
nRows=82																																			
nColumns=36																																			
inDegrees=no																																			
																																			
"This file contains either the forces, speeds, or powers developed"																																			
by the actuators of a model during a simulation.																																			
																																			
"An actuator force is a generalized force, meaning that it can be either a force (N) or a torque (Nm)."																																			
																																			
"An actuator speed is the rate at which an actuator shortens. Depending on the actuator,"																																			
a speed can be either a translational speed (m/s) or an angular speed (deg/s or rad/s).																																			
																																			
An actuator power (Watts) is the rate at which an actuator does work.  Positive power means																																			
that the actuator is delivering energy to the model; negative power means that the actuator																																			
is absorbing energy from the model.																																			
																																			
"Units are S.I. units (second, meters, Newtons, ...)"																																			
Angles are in degrees.																																			
																																			
endheader																																			
time	glut_med2_r	add_mag2_r	glut_max2_r	iliacus_r	rect_fem_r	vas_int_r	med_gas_r	tib_ant_r	FX	FY	FZ	MX	MY	MZ	hip_flexion_r_reserve	hip_adduction_r_reserve	hip_rotation_r_reserve	knee_angle_r_reserve	ankle_angle_r_reserve	subtalar_angle_r_reserve	mtp_angle_r_reserve	hip_flexion_l_reserve	hip_adduction_l_reserve	hip_rotation_l_reserve	knee_angle_l_reserve	ankle_angle_l_reserve	subtalar_angle_l_reserve	mtp_angle_l_reserve	lumbar_extension_reserve	lumbar_bending_reserve	lumbar_rotation_reserve				
0.73	515.3186517	484.574079	509.7211662	14.91472996	32.56536985	410.6012173	14.89508965	133.5541654	-0.193315361	-2.500849402	-1.939722896	9.879971009	-4.760280664	16.70147673	-1.312857486	-0.968009828	-3.112539765	-0.000120107	1.574186207	6.922643403	0.073530132	38.73491354	-12.1687598	-0.567775404	4.641267567	-41.69237213	5.086406295	0.056591178	36.89472086	-21.53941023	-3.583958506	0	-2.31584E+77	-2.31584E+77	28.92942103
