ActuatorForces																																																																													
version=1																																																																													
nRows=53																																																																													
nColumns=78																																																																													
inDegrees=no																																																																													
																																																																													
"This file contains either the forces, speeds, or powers developed"																																																																													
by the actuators of a model during a simulation.																																																																													
																																																																													
"An actuator force is a generalized force, meaning that it can be either a force (N) or a torque (Nm)."																																																																													
																																																																													
"An actuator speed is the rate at which an actuator shortens. Depending on the actuator,"																																																																													
a speed can be either a translational speed (m/s) or an angular speed (deg/s or rad/s).																																																																													
																																																																													
An actuator power (Watts) is the rate at which an actuator does work.  Positive power means																																																																													
that the actuator is delivering energy to the model; negative power means that the actuator																																																																													
is absorbing energy from the model.																																																																													
																																																																													
"Units are S.I. units (second, meters, Newtons, ...)"																																																																													
Angles are in degrees.																																																																													
																																																																													
endheader																																																																													
time	glut_med1_r	glut_med2_r	glut_med3_r	bifemlh_r	bifemsh_r	sar_r	add_mag2_r	tfl_r	pect_r	grac_r	glut_max1_r	glut_max2_r	glut_max3_r	iliacus_r	psoas_r	quad_fem_r	gem_r	peri_r	rect_fem_r	vas_int_r	med_gas_r	soleus_r	tib_post_r	tib_ant_r	glut_med1_l	glut_med2_l	glut_med3_l	bifemlh_l	bifemsh_l	sar_l	add_mag2_l	tfl_l	pect_l	grac_l	glut_max1_l	glut_max2_l	glut_max3_l	iliacus_l	psoas_l	quad_fem_l	gem_l	peri_l	rect_fem_l	vas_int_l	med_gas_l	soleus_l	tib_post_l	tib_ant_l	ercspn_r	ercspn_l	intobl_r	intobl_l	extobl_r	extobl_l	FX	FY	FZ	MX	MY	MZ	hip_flexion_r_reserve	hip_adduction_r_reserve	hip_rotation_r_reserve	knee_angle_r_reserve	ankle_angle_r_reserve	subtalar_angle_r_reserve	mtp_angle_r_reserve	hip_flexion_l_reserve	hip_adduction_l_reserve	hip_rotation_l_reserve	knee_angle_l_reserve	ankle_angle_l_reserve	subtalar_angle_l_reserve	mtp_angle_l_reserve	lumbar_extension_reserve	lumbar_bending_reserve	lumbar_rotation_reserve
