ActuatorSpeeds																																			
version=1																																			
nRows=82																																			
nColumns=36																																			
inDegrees=no																																			
																																			
"This file contains either the forces, speeds, or powers developed"																																			
by the actuators of a model during a simulation.																																			
																																			
"An actuator force is a generalized force, meaning that it can be either a force (N) or a torque (Nm)."																																			
																																			
"An actuator speed is the rate at which an actuator shortens. Depending on the actuator,"																																			
a speed can be either a translational speed (m/s) or an angular speed (deg/s or rad/s).																																			
																																			
An actuator power (Watts) is the rate at which an actuator does work.  Positive power means																																			
that the actuator is delivering energy to the model; negative power means that the actuator																																			
is absorbing energy from the model.																																			
																																			
"Units are S.I. units (second, meters, Newtons, ...)"																																			
Angles are in degrees.																																			
																																			
endheader																																			
time	glut_med2_r	add_mag2_r	glut_max2_r	iliacus_r	rect_fem_r	vas_int_r	med_gas_r	tib_ant_r	FX	FY	FZ	MX	MY	MZ	hip_flexion_r_reserve	hip_adduction_r_reserve	hip_rotation_r_reserve	knee_angle_r_reserve	ankle_angle_r_reserve	subtalar_angle_r_reserve	mtp_angle_r_reserve	hip_flexion_l_reserve	hip_adduction_l_reserve	hip_rotation_l_reserve	knee_angle_l_reserve	ankle_angle_l_reserve	subtalar_angle_l_reserve	mtp_angle_l_reserve	lumbar_extension_reserve	lumbar_bending_reserve	lumbar_rotation_reserve				
0.73	0.013000237	-0.063306813	-0.026522399	0.041533996	0.153008607	0.086827972	-0.033010912	-0.028960421	0.290420787	0.290420787	0.290420787	-0.472939021	0.095852407	0.15720365	-0.647346855	0.538904693	-0.179267306	-1.862419152	0.504913648	-0.001701998	0.009872665	1.532257212	-0.720199674	-0.770086874	-5.73881748	-2.639784714	0.009899451	-0.00862018	0.070094303	0.903502262	0.233067301	0	-2.31584E+77	-2.31584E+77	28.92942103
0.731043096	0.010592918	-0.063668878	-0.028459392	0.044042988	0.154183072	0.084784027	-0.029358548	-0.029404846	0.289938258	0.289938258	0.289938258	-0.457043056	0.08857387	0.173418484	-0.685901921	0.521026784	-0.170096632	-1.818594995	0.56980468	0.249863142	-0.071538485	1.536556841	-0.708558061	-0.789366042	-5.786155212	-1.892579957	0.222567924	-2.792989336	0.049707454	0.881892823	0.235683365	0	-2.31584E+77	-2.31584E+77	28.92942103
0.740000269	0.002950074	-0.071415717	-0.03920827	0.057974208	0.154138035	0.067465453	-0.005365479	-0.034115304	0.285852993	0.285852993	0.285852993	-0.438836121	0.047505149	0.217817795	-0.899230636	0.507819269	-0.163297298	-1.447094367	0.899441892	1.358873099	-0.397341842	1.709954959	-0.753587935	-0.991192061	-6.146615957	1.187532877	1.210259687	-14.38793783	-0.014903324	0.821892136	0.28687266	0	-2.31584E+77	-2.31584E+77	28.92942103
0.745560951	-0.004467171	-0.077052761	-0.049779075	0.071145467	0.158539822	0.055836366	0.011783106	-0.042786919	0.283524671	0.283524671	0.283524671	-0.404406492	0.050111705	0.290658828	-1.093247882	0.474410586	-0.181171265	-1.197482851	1.103148444	1.616402707	-0.598841278	1.751036151	-0.772456919	-1.076365131	-6.314273714	3.577233977	1.997412295	-23.80356779	-0.107278544	0.767660048	0.286096402	0	-2.31584E+77	-2.31584E+77	28.92942103
0.751018838	-0.004035418	-0.085118597	-0.055029626	0.077694769	0.158005632	0.047055936	0.028062205	-0.056302633	0.28163034	0.28163034	0.28163034	-0.440638271	0.022498607	0.308674863	-1.195855171	0.534485518	-0.204591329	-1.008992843	1.300424175	1.464204453	-1.008145109	1.848818214	-0.866631531	-1.214019803	-6.418470413	4.694446186	2.324866509	-28.54339062	-0.136722323	0.774290395	0.342345971	0	-2.31584E+77	-2.31584E+77	28.92942103
0.760000738	-0.003601739	-0.099142372	-0.062282047	0.086784848	0.158571347	0.034593554	0.045364366	-0.072077481	0.27943168	0.27943168	0.27943168	-0.497410897	-0.063940157	0.356557664	-1.357293566	0.654324855	-0.185532933	-0.741543984	1.446053539	0.888945886	-1.169674197	1.948344923	-1.019322968	-1.460147579	-6.465452936	6.557516504	2.611657145	-36.6763251	-0.210922148	0.764934591	0.475736908	0	-2.31584E+77	-2.31584E+77	28.92942103
0.768602228	0.001390517	-0.100754271	-0.055526034	0.077995757	0.143810488	0.028867718	0.040113858	-0.067508762	0.273678264	0.273678264	0.273678264	-0.520225327	-0.199986198	0.238512295	-1.262427157	0.747457045	-0.07864309	-0.618631158	1.224044159	0.225195763	-0.182581954	2.180075102	-1.099913866	-1.700343705	-6.381538335	8.628710605	2.326923446	-45.67313241	-0.104714654	0.69275413	0.639355959	0	-2.31584E+77	-2.31584E+77	28.92942103
0.773629695	0.006900099	-0.100509323	-0.048138216	0.068848602	0.130928417	0.026347184	0.037479644	-0.065075081	0.270732686	0.270732686	0.270732686	-0.546161468	-0.285816756	0.125623725	-1.148534161	0.818731739	-0.004667131	-0.564529961	1.119726008	-0.067614098	0.166265995	2.352608285	-1.155363709	-1.83423957	-6.287049756	9.418177975	1.979707915	-48.53457579	0.007144989	0.658113124	0.745145293	0	-2.31584E+77	-2.31584E+77	28.92942103
